userID;fio;phone;login;password;type
1;Белов Александр Давидович;89210563128;login1;pass1;Менеджер
2;Харитонова Мария Павловна;89535078985;login2;pass2;Автомеханик
3;Марков Давид Иванович;89210673849;login3;pass3;Автомеханик
4;Громова Анна Семёновна;89990563748;login4;pass4;Оператор
5;Карташова Мария Данииловна;89994563847;login5;pass5;Оператор
6;Касаткин Егор Львович;89219567849;login11;pass11;Заказчик
7;Ильина Тамара Даниловна;89219567841;login12;pass12;Заказчик
8;Елисеева Юлиана Алексеевна;89219567842;login13;pass13;Заказчик
9;Никифорова Алиса Тимофеевна;89219567843;login14;pass14;Заказчик
10;Васильев Али Евгеньевич;89219567844;login15;pass15;Автомеханик
